species1,species2,n_population1,n_observation1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_observation2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Saguinus_oedipus,Alouatta_caraya,134,23,0.171641791044776,0.112248414771341,0.238624750552247,32,4,0.125,0.0335237218359123,0.252573497629146,0.046641791044776,TRUE,0.046641791044776,TRUE
Saimiri_sciureus,Alouatta_caraya,116,9,0.0775862068965517,0.0353433960210314,0.131243026482192,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0474137931034483,TRUE,-0.0474137931034483,TRUE
Sapajus_apella,Alouatta_caraya,26,3,0.115384615384615,0.022156245170804,0.254442101092003,32,4,0.125,0.0335237218359123,0.252573497629146,-0.009615384615385,TRUE,-0.009615384615385,TRUE
Theropithecus_gelada,Alouatta_caraya,52,1,0.0192307692307692,3.54977155416648e-05,0.0727517084305247,32,4,0.125,0.0335237218359123,0.252573497629146,-0.105769230769231,TRUE,-0.105769230769231,TRUE
Trachypithecus_auratus,Alouatta_caraya,27,1,0.037037037037037,7.90619029304496e-05,0.135978776603369,32,4,0.125,0.0335237218359123,0.252573497629146,-0.087962962962963,TRUE,-0.087962962962963,TRUE
Trachypithecus_cristatus,Alouatta_caraya,28,1,0.0357142857142857,7.54165716449291e-05,0.131413591050072,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0892857142857143,TRUE,-0.0892857142857143,TRUE
Trachypithecus_francoisi,Alouatta_caraya,30,4,0.133333333333333,0.0360533257722992,0.268089216873517,32,4,0.125,0.0335237218359123,0.252573497629146,0.008333333333333,TRUE,0.008333333333333,TRUE
Varecia_rubra,Alouatta_caraya,59,11,0.186440677966102,0.0974433956354568,0.291715927519924,32,4,0.125,0.0335237218359123,0.252573497629146,0.061440677966102,TRUE,0.061440677966102,TRUE
Varecia_variegata,Alouatta_caraya,76,16,0.210526315789474,0.126292518022371,0.30645447721356,32,4,0.125,0.0335237218359123,0.252573497629146,0.085526315789474,TRUE,0.085526315789474,TRUE
Alouatta_caraya,Ateles_geoffroyi,32,4,0.125,0.0335237218359123,0.252573497629146,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.177325581395349,TRUE,-0.177325581395349,TRUE
Ateles_geoffroyi,Ateles_geoffroyi,43,13,0.302325581395349,0.175869629241609,0.442628252539522,43,13,0.302325581395349,0.175869629241609,0.442628252539522,0,TRUE,0,TRUE
Callimico_goeldii,Ateles_geoffroyi,69,15,0.217391304347826,0.128170743692434,0.319160858198794,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.084934277047523,TRUE,-0.084934277047523,TRUE
Callithrix_geoffroyi,Ateles_geoffroyi,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.205551387846962,TRUE,-0.205551387846962,TRUE
Callithrix_jacchus,Ateles_geoffroyi,41,1,0.024390243902439,4.69527767274654e-05,0.0914709354519275,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.27793533749291,FALSE,-0.27793533749291,FALSE
Cebuella_pygmaea,Ateles_geoffroyi,41,4,0.0975609756097561,0.0254717144564413,0.200342605405249,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.204764605785593,TRUE,-0.204764605785593,TRUE
Cercopithecus_neglectus,Ateles_geoffroyi,28,2,0.0714285714285714,0.00620699977065738,0.18647698409436,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.230897009966778,TRUE,-0.230897009966778,TRUE
Colobus_guereza,Ateles_geoffroyi,97,10,0.103092783505155,0.0499339833887551,0.16899740082866,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.199232797890194,FALSE,-0.199232797890194,FALSE
Eulemur_macaco,Ateles_geoffroyi,30,9,0.3,0.152494532088254,0.467286007314685,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.002325581395349,TRUE,-0.002325581395349,TRUE
Galago_moholi,Ateles_geoffroyi,32,3,0.09375,0.0174857255170213,0.209957455922558,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.208575581395349,TRUE,-0.208575581395349,TRUE
Galago_senegalensis,Ateles_geoffroyi,66,1,0.0151515151515152,2.70561599553178e-05,0.0577160047524064,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.287174066243834,FALSE,-0.287174066243834,FALSE
Gorilla_gorilla,Ateles_geoffroyi,67,14,0.208955223880597,0.120155734324225,0.311064499827234,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.093370357514752,TRUE,-0.093370357514752,TRUE
Hylobates_lar,Ateles_geoffroyi,44,7,0.159090909090909,0.0662158815925952,0.275666772011294,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.14323467230444,TRUE,-0.14323467230444,TRUE
Lemur_catta,Ateles_geoffroyi,244,38,0.155737704918033,0.112697925252209,0.203165011205152,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.146587876477316,TRUE,-0.146587876477316,TRUE
Leontopithecus_chrysomelas,Ateles_geoffroyi,51,6,0.117647058823529,0.0433930085414775,0.215122793216635,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.18467852257182,TRUE,-0.18467852257182,TRUE
Leontopithecus_rosalia,Ateles_geoffroyi,90,11,0.122222222222222,0.0621866562845742,0.195283382246493,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.180103359173127,TRUE,-0.180103359173127,TRUE
Macaca_fascicularis,Ateles_geoffroyi,37,2,0.0540540540540541,0.00451596014887435,0.143504899802175,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.248271527341295,FALSE,-0.248271527341295,FALSE
Macaca_fuscata,Ateles_geoffroyi,43,4,0.0930232558139535,0.0241800164899547,0.191534510824328,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.209302325581395,TRUE,-0.209302325581395,TRUE
Macaca_nigra,Ateles_geoffroyi,36,1,0.0277777777777778,5.49719720521614e-05,0.103582670720407,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.274547803617571,FALSE,-0.274547803617571,FALSE
Macaca_silenus,Ateles_geoffroyi,68,6,0.0882352941176471,0.031917080030165,0.163514641891754,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.214090287277702,FALSE,-0.214090287277702,FALSE
Mandrillus_sphinx,Ateles_geoffroyi,45,4,0.0888888888888889,0.0230127556475903,0.18346692026325,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.21343669250646,TRUE,-0.21343669250646,TRUE
Mico_argentatus,Ateles_geoffroyi,20,1,0.05,0.000118732524035412,0.179634582890624,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.252325581395349,TRUE,-0.252325581395349,TRUE
Microcebus_murinus,Ateles_geoffroyi,57,14,0.245614035087719,0.143143776921009,0.361679877334054,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.05671154630763,TRUE,-0.05671154630763,TRUE
Nycticebus_coucang,Ateles_geoffroyi,24,2,0.0833333333333333,0.00744065839317517,0.215076015702136,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.218992248062016,TRUE,-0.218992248062016,TRUE
Nycticebus_pygmaeus,Ateles_geoffroyi,49,13,0.26530612244898,0.152087921083665,0.393040317967431,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.037019458946369,TRUE,-0.037019458946369,TRUE
Pan_troglodytes,Ateles_geoffroyi,95,16,0.168421052631579,0.0996442095455808,0.247977064642223,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.13390452876377,TRUE,-0.13390452876377,TRUE
Papio_hamadryas,Ateles_geoffroyi,103,5,0.0485436893203884,0.0148748076124849,0.0961960679003443,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.253781892074961,FALSE,-0.253781892074961,FALSE
Propithecus_coquereli,Ateles_geoffroyi,25,4,0.16,0.0444228371819369,0.316667454426006,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.142325581395349,TRUE,-0.142325581395349,TRUE
Saguinus_bicolor,Ateles_geoffroyi,25,1,0.04,8.7486963786008e-05,0.146129731147202,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.262325581395349,FALSE,-0.262325581395349,FALSE
Saguinus_imperator,Ateles_geoffroyi,36,0,0,0,0.0516036429663788,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.302325581395349,FALSE,-0.302325581395349,FALSE
Saguinus_midas,Ateles_geoffroyi,22,0,0,0,0.0826924701398397,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.302325581395349,FALSE,-0.302325581395349,FALSE
Saguinus_oedipus,Ateles_geoffroyi,134,23,0.171641791044776,0.112248414771341,0.238624750552247,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.130683790350573,TRUE,-0.130683790350573,TRUE
Saimiri_sciureus,Ateles_geoffroyi,116,9,0.0775862068965517,0.0353433960210314,0.131243026482192,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.224739374498797,FALSE,-0.224739374498797,FALSE
Sapajus_apella,Ateles_geoffroyi,26,3,0.115384615384615,0.022156245170804,0.254442101092003,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.186940966010734,TRUE,-0.186940966010734,TRUE
Theropithecus_gelada,Ateles_geoffroyi,52,1,0.0192307692307692,3.54977155416648e-05,0.0727517084305247,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.28309481216458,FALSE,-0.28309481216458,FALSE
Trachypithecus_auratus,Ateles_geoffroyi,27,1,0.037037037037037,7.90619029304496e-05,0.135978776603369,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.265288544358312,FALSE,-0.265288544358312,FALSE
Trachypithecus_cristatus,Ateles_geoffroyi,28,1,0.0357142857142857,7.54165716449291e-05,0.131413591050072,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.266611295681063,FALSE,-0.266611295681063,FALSE
Trachypithecus_francoisi,Ateles_geoffroyi,30,4,0.133333333333333,0.0360533257722992,0.268089216873517,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.168992248062016,TRUE,-0.168992248062016,TRUE
Varecia_rubra,Ateles_geoffroyi,59,11,0.186440677966102,0.0974433956354568,0.291715927519924,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.115884903429247,TRUE,-0.115884903429247,TRUE
Varecia_variegata,Ateles_geoffroyi,76,16,0.210526315789474,0.126292518022371,0.30645447721356,43,13,0.302325581395349,0.175869629241609,0.442628252539522,-0.091799265605875,TRUE,-0.091799265605875,TRUE
Alouatta_caraya,Callimico_goeldii,32,4,0.125,0.0335237218359123,0.252573497629146,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.092391304347826,TRUE,-0.092391304347826,TRUE
Ateles_geoffroyi,Callimico_goeldii,43,13,0.302325581395349,0.175869629241609,0.442628252539522,69,15,0.217391304347826,0.128170743692434,0.319160858198794,0.084934277047523,TRUE,0.084934277047523,TRUE
Callimico_goeldii,Callimico_goeldii,69,15,0.217391304347826,0.128170743692434,0.319160858198794,69,15,0.217391304347826,0.128170743692434,0.319160858198794,0,TRUE,0,TRUE
Callithrix_geoffroyi,Callimico_goeldii,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.120617110799439,TRUE,-0.120617110799439,TRUE
Callithrix_jacchus,Callimico_goeldii,41,1,0.024390243902439,4.69527767274654e-05,0.0914709354519275,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.193001060445387,FALSE,-0.193001060445387,FALSE
Cebuella_pygmaea,Callimico_goeldii,41,4,0.0975609756097561,0.0254717144564413,0.200342605405249,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.11983032873807,TRUE,-0.11983032873807,TRUE
Cercopithecus_neglectus,Callimico_goeldii,28,2,0.0714285714285714,0.00620699977065738,0.18647698409436,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.145962732919255,TRUE,-0.145962732919255,TRUE
Colobus_guereza,Callimico_goeldii,97,10,0.103092783505155,0.0499339833887551,0.16899740082866,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.114298520842671,TRUE,-0.114298520842671,TRUE
Eulemur_macaco,Callimico_goeldii,30,9,0.3,0.152494532088254,0.467286007314685,69,15,0.217391304347826,0.128170743692434,0.319160858198794,0.082608695652174,TRUE,0.082608695652174,TRUE
Galago_moholi,Callimico_goeldii,32,3,0.09375,0.0174857255170213,0.209957455922558,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.123641304347826,TRUE,-0.123641304347826,TRUE
