"species","family","malignant_prevalence","malignant_count","adult_necropsy_count","neoplasia_prevalence","LQ","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Alouatta_caraya","Atelidae",0.03125,1,32,0.125,0.984631545411751,0.108648255813954,0.108648255813954,0.109457663076115,0.0699491279069767,0.14734738372093,0.03125,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","low_extreme"
"Ateles_geoffroyi","Atelidae",0.186046511627907,8,43,0.302325581395349,1.35617225068527,0.108648255813954,0.108648255813954,0.109457663076115,0.0699491279069767,0.14734738372093,0.186046511627907,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callimico_goeldii","Cebidae",0.101449275362319,7,69,0.217391304347826,1.03938709413631,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.101449275362319,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callithrix_geoffroyi","Cebidae",0.032258064516129,1,31,0.0967741935483871,0.902978589935649,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.032258064516129,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Callithrix_jacchus","Cebidae",0.024390243902439,1,41,0.024390243902439,1.23631779319117,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.024390243902439,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Cebuella_pygmaea","Cebidae",0.0487804878048781,2,41,0.0975609756097561,1.15598437798723,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.0487804878048781,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Cercopithecus_neglectus","Cercopithecidae",0.0357142857142857,1,28,0.0714285714285714,0.921152922887957,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0357142857142857,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Colobus_guereza","Cercopithecidae",0.0412371134020619,4,97,0.103092783505155,0.949675428550266,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0412371134020619,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","high_extreme"
"Eulemur_macaco","Lemuridae",0.2,6,30,0.3,1.32436293552723,0.159448348225384,0.153322925958965,0.0323990672232615,0.134481800500139,0.17828947368421,0.2,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","high_extreme"
"Galago_moholi","Galagidae",0.0625,2,32,0.09375,0.972828173770322,0.0388257575757576,0.0388257575757576,0.0334804347152721,0.0269886363636364,0.0506628787878788,0.0625,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","high_extreme"
"Galago_senegalensis","Galagidae",0.0151515151515152,1,66,0.0151515151515152,0.978278345245565,0.0388257575757576,0.0388257575757576,0.0334804347152721,0.0269886363636364,0.0506628787878788,0.0151515151515152,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","low_extreme"
"Gorilla_gorilla","Hominidae",0.0298507462686567,2,67,0.208955223880597,0.989565805738832,0.0201885310290652,0.0201885310290652,0.0136644358343983,0.0153574234092694,0.025019638648861,0.0298507462686567,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","high_extreme"
"Hylobates_lar","Hylobatidae",0.159090909090909,7,44,0.159090909090909,1.63237126876356,0.159090909090909,0.159090909090909,NA,0.159090909090909,0.159090909090909,0.159090909090909,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","normal"
"Lemur_catta","Lemuridae",0.131147540983607,32,244,0.155737704918033,1.30860227262785,0.159448348225384,0.153322925958965,0.0323990672232615,0.134481800500139,0.17828947368421,0.131147540983607,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","low_extreme"
"Leontopithecus_chrysomelas","Cebidae",0.117647058823529,6,51,0.117647058823529,1.00419130810494,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.117647058823529,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","high_extreme"
"Leontopithecus_rosalia","Cebidae",0.0555555555555556,5,90,0.122222222222222,1.43408825146479,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.0555555555555556,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Macaca_fascicularis","Cercopithecidae",0,0,37,0.0540540540540541,1.15152845211547,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","low_extreme"
"Macaca_fuscata","Cercopithecidae",0.0232558139534884,1,43,0.0930232558139535,1.06729209546774,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0232558139534884,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
